24586170			,22-FEB-10 11.24.40.000000 AM						    ,CR_MassFilter											 ,22-FEB-10 11.24.40.325402 AM						     ,CR_MassFilter											  ,SCNLEBELED,	       1,	788,21-DEC-15	      , ,									    ,										,
24869947			,23-FEB-10 09.21.03.000000 AM						    ,CR_MassFilter											 ,23-FEB-10 09.21.03.171246 AM						     ,CR_MassFilter											  ,AMATEMAIDA,	       1,	722,16-MAR-14	      , ,									    ,										,
24853073			,23-FEB-10 08.33.38.000000 AM						    ,CR_MassFilter											 ,23-FEB-10 08.33.38.672242 AM						     ,CR_MassFilter											  ,SEMCE3B2RN,	       6,     56390,29-JAN-19	      , ,									    ,										,
36796165			,06-APR-10 10.56.16.000000 AM						    ,CR_MassFilter											 ,06-APR-10 10.56.16.682075 AM						     ,CR_MassFilter											  ,SCNLE3MIED,	       1,    227257,27-JAN-11	      , ,									    ,										,
24875238			,23-FEB-10 09.34.47.000000 AM						    ,CR_MassFilter											 ,23-FEB-10 09.34.47.624038 AM						     ,CR_MassFilter											  ,SCEBEALLRE,	      15,     35772,24-APR-12	      , ,									    ,										,
24844724			,23-FEB-10 08.05.31.000000 AM						    ,CR_MassFilter											 ,23-FEB-10 08.05.31.797648 AM						     ,CR_MassFilter											  ,SCATE2AGED,	       5,     19609,28-MAY-15	      , ,									    ,										,
24890164			,23-FEB-10 10.15.33.000000 AM						    ,CR_MassFilter											 ,23-FEB-10 10.15.33.523716 AM						     ,CR_MassFilter											  ,WEBTE2AEIM,	       2,      3449,28-JAN-19	      , ,									    ,										,
23996668			,19-FEB-10 12.08.20.000000 PM						    ,CR_MassFilter											 ,19-FEB-10 12.08.20.590297 PM						     ,CR_MassFilter											  ,LFASELFSED,	       3,     12452,08-FEB-13	      , ,									    ,										,
DB201DFF80541AB9E04400212867A1B9,25-APR-13 10.05.00.000000 AM						    ,CR_MassFilter											 ,25-APR-13 10.05.00.070661 AM						     ,CR_MassFilter											  ,SDSKAOB861,	       1,	158,29-JAN-19	      , ,									    ,										,
37111523			,07-APR-10 09.36.59.000000 AM						    ,CR_MassFilter											 ,07-APR-10 09.36.59.313156 AM						     ,CR_MassFilter											  ,SCNLEAG2OF,	       1,	369,17-MAY-18	      , ,									    ,										,
43105341			,27-APR-10 08.58.17.000000 AM						    ,CR_MassFilter											 ,27-APR-10 08.58.17.159801 AM						     ,CR_MassFilter											  ,SAG_ESFRIL,	       2,     10086,14-JUN-11	      , ,									    ,										,
43105353			,27-APR-10 08.58.19.000000 AM						    ,CR_MassFilter											 ,27-APR-10 08.58.19.708499 AM						     ,CR_MassFilter											  ,SAG_ESFRPR,	       3,     24314,08-SEP-11	      , ,									    ,										,
43105388			,27-APR-10 08.58.36.000000 AM						    ,CR_MassFilter											 ,27-APR-10 08.58.36.359063 AM						     ,CR_MassFilter											  ,SCSGECISCE,	       9,     36966,24-JUL-12	      , ,									    ,										,
43105420			,27-APR-10 08.59.03.000000 AM						    ,CR_MassFilter											 ,27-APR-10 08.59.03.132702 AM						     ,CR_MassFilter											  ,SAG_EXBPIT,	      66,  11966019,29-JAN-19	      , ,									    ,										,
43105481			,27-APR-10 08.59.20.000000 AM						    ,CR_MassFilter											 ,27-APR-10 08.59.20.413898 AM						     ,CR_MassFilter											  ,SCEBEBKRXM,	       2,      7180,30-JAN-16	      , ,									    ,										,
DA82DC9FB5C4317DE04400212867A1B9,29-APR-13 05.12.57.000000 AM						    ,CR_MassFilter											 ,29-APR-13 05.12.57.313457 AM						     ,CR_MassFilter											  ,APPLAFOA16,	       2,      5737,29-JAN-19	      , ,									    ,										,
